date,AT1,Euro Bills,Euro High Yield,EStoxx50,Euro Corp,US High Yield,S&P500,MicroSEK,MicroEUR
2013-09-30,,,-0.00037517271146969566,0.18723692070749398,0.013731639865159906,,0.04685983649077574,,
2013-12-31,,,0.03283918127106089,0.10130182415551525,-0.0017239889063427327,,0.09920010209609131,-0.001910508,
2014-03-31,,,-0.00899350905429197,0.015586033324033188,0.020723719605944213,,0.012973652675233094,0.005339512,
2014-06-30,,,0.015400131648847237,0.016666891061575706,0.011359942003817514,,0.04694126934898324,0.042789859,
2014-09-30,,,-0.03150670731728311,-0.0634249428189394,0.0179240024048426,,0.006152369218874076,0.088314434,-0.0059
2014-12-31,,,0.011185725123892265,-0.06964341825841613,0.005947679715888832,,0.04391335025066545,0.082030905,0.085001509
2015-03-31,,,-0.000829682563605938,0.06136258379070858,0.01229190846103112,,0.004366404711633187,0.080545128,0.016132023
2015-06-30,,-0.002469156017998131,-0.013469868924199768,-0.03469454451324128,-0.039194579353680314,,-0.002311431171168832,-0.031115475,0.04379562
2015-09-30,,0.00114244807250663,-0.04872345524739019,-0.07719861496838554,-0.004319255324206295,,-0.06935164420467954,-0.009119963,0.020367133
2015-12-31,,0.0015214532820759796,0.009732578174291628,0.01904642558472669,0.015343798049539892,,0.06453540320655904,-0.00377596,-0.034744552
2016-03-31,,0.0008545762205274254,-0.0006815275576689261,-0.030767238516116957,0.016694363640644028,,0.007730192315364315,-0.02234681,0.003053576
2016-06-30,,0.0018024362528317184,0.01315275216435019,-0.06020534668398969,0.015719877606699795,,0.018992745381929854,0.058153622,-0.021494465
2016-09-30,,-0.0007575931080556764,0.007308415730771456,0.07866010654761846,0.008734288632635145,,0.03307028985111082,0.026944508,-0.007259357
2016-12-31,,0.00018957802404595547,0.017279212969868674,0.025580249587653592,-0.011620831966733358,,0.03254209944248743,0.060205143,0.036467236
2017-03-31,,-0.0036005045491909193,-0.008727480541320443,0.08981485283172885,-0.00783834806876016,,0.05533688947125537,0.013644609,0.057673975
2017-06-30,,-0.0005706084623302576,0.016851334421802422,0.06040775338001625,0.004414778582101375,,0.025686472438030572,-0.028711485,0.017124831
2017-09-30,,0.0007611972618095653,-0.004375767662960439,0.0906422952469661,0.0030075159659561645,0.015748016714081325,0.039593052266169604,-0.018585276,-0.035799734
2017-12-31,,-0.0007606182812565088,0.0034598383087771634,-0.009703695113894462,0.006765507607222165,0.0,0.06122586427624599,0.029058852,-0.061575223
2018-03-31,,-0.0017126575431882785,-0.020920652019973063,-0.007760098823562656,-0.009698391004643536,-0.007751930820906638,-0.012245611334087081,0.05489014,0.010185095
2018-06-30,,-0.004098363635914093,-0.00942279036938276,-0.04637941909507115,-0.0026218102798684084,0.011718739086063357,0.02934638833451486,0.051733213,0.00688318
2018-09-30,,-0.002775394022932587,-0.003218823870244747,0.021015132411234205,-0.0051028582093443076,0.0231660938943945,0.071958510007325,-0.013461381,0.037165415
2018-12-31,-0.025615693101392223,0.005374330176482145,-0.036263747012390324,-0.12960313622780018,-0.0074603008215651245,-0.039622647281047585,-0.1397160878047653,0.001248024,0.020487716
2019-03-31,0.06231041625423539,0.000572714369704963,0.033277356864715335,0.10360621928164426,0.02685556406982914,0.06994104831475068,0.13066190315637094,0.060162872,0.031624767
2019-06-30,0.04651987972334837,0.0024804630508246106,0.017617730888608518,0.04964811661297497,0.021044680854529485,0.020106487209189394,0.037877544143682496,0.022103778,0.00602025
2019-09-30,0.0202364574559335,0.0022839537455985326,-0.01526757057725181,0.006523940996463917,0.00657150026105513,0.008370120734086273,0.011890834178392762,0.057523562,0.042342914
2019-12-31,0.04123027262886203,-0.00389286017758117,0.021445143862954597,0.08232428766337585,-0.004228741700577965,0.023652211572689152,0.08534169591429386,-0.016364474,0.003392484
2020-03-31,-0.13227740033613755,-0.004384774547799619,-0.16410060266734428,-0.2746943330889595,-0.06295637386965935,-0.11439535185003169,-0.20001050382463903,0.004452082,-0.029128739
2020-06-30,0.13369506774898432,0.001819075605147269,0.10223110674385016,0.20861956300652662,0.051363594314199235,0.07846814190584261,0.19952871969448593,-0.020917574,0.016697919
2020-09-30,0.04166668741676105,0.00047785791331689254,0.0002668063948019217,0.033392852053947486,0.012024590849688321,0.04016793512716488,0.0847372205914454,-0.029345183,-0.031422122
2020-12-31,0.061409892986088455,0.0003820891641466151,0.05484865457247756,0.15332217679822624,0.01972798718544566,0.05757417362245998,0.11688078155199966,-0.052517923,-0.017339424
2021-03-31,0.008954085277009804,-0.002960041803223734,-0.004620832555883969,0.07324780106754902,-0.010552560241519626,0.0058091032129643505,0.0577251809132131,0.049776643,0.03282421
2021-06-30,0.023405514964409235,-0.0015322355441529378,0.009871013870629941,0.05259896857101598,0.000296202672695145,0.02219472408793277,0.08170629345361147,0.003300043,0.011665289
2021-09-30,0.003239911663623918,-0.001246929600506097,-0.01175848200672347,-0.021287012529943805,-0.003702058411359621,0.005892320169769372,0.0023362510907505296,0.031593663,0.029262906
2021-12-31,-0.0028495006253959065,-0.0024008451608001913,0.004945452611047507,0.03167792371499534,-0.00423596964752837,0.0028888021247452933,0.10647379538196211,0.040112025,0.021904336
2022-03-31,-0.04105548723726171,-0.011070407459473963,-0.05948161901070803,-0.10678467938395841,-0.05589973271212523,-0.0404865188774175,-0.049467290542075215,0.038651959,0.030083087
2022-06-30,-0.08850696528038082,-0.013238592094913737,-0.10211773484857767,-0.1525617786584963,-0.07233202787256054,-0.08639087144697255,-0.16445095427169687,0.115320288,0.062302985
2022-09-30,-0.045444700318869824,-0.018841902045561243,-0.011931735145747302,-0.09667400501427947,-0.03374519928388364,0.00018253513888466522,-0.05277139198948255,0.068320279,0.050619654
2022-12-31,0.08471293650608391,-0.0072391034318392,0.04785929039128067,0.2643761336801256,0.012787696940181448,0.03942326638060489,0.07080501406034023,-0.031771894,-0.053497259
2023-03-31,-0.0933586206414746,0.00658296070429043,0.004837034824950015,0.16519715436704674,0.004876395035233072,0.030904238123510508,0.07027218611635622,0.027008835,0.014744602
2023-06-30,0.019038767138017,-0.0029178078006664165,0.008274387419884732,0.027365939902368908,0.003812779949686984,0.005535729528793665,0.08299929169508036,0.056850095,0.011249897
2023-09-30,0.024948763634783377,0.005146338487216573,-0.019713102065141763,-0.06749614595471598,-0.016315602981681332,0.0017785981335058931,-0.03647555543559855,0.002585464,0.029120654
2023-12-31,0.08091584617675496,0.023692406343648775,0.05835349870651663,0.14119750711645196,0.05765686591293551,0.06543795767276062,0.11235416923349151,-0.045,-0.013274
2024-03-31,0.024164508731322254,-0.0018633170455202297,-0.027864942432498152,0.10191111950120901,-0.013607695281518173,0.012696385050727788,0.10158014260367798,0.059185,0.021025
2024-06-30,0.01746985833761472,0.004126529514468347,0.00724228304335317,-0.04614248857886227,-0.000672898750911255,0.005876806830585668,0.039230328961986416,-0.013385,0.0039
2024-09-30,0.029405994322296847,0.011448197977269814,0.019231612864156533,0.04128658555344522,0.0005050299415194637,0.025940654816252184,0.01717248664341775,,
